spec	num alns	num gappy	num stop
ABRUE	10268	1838	0
TANTI	10429	1172	0
SMIMO	10270	4821	0
PTEPI	10022	1132	0
LRECL	6972	5595	0
CROTU	9121	2729	0
NCLAV	6781	3058	0
LHESP	7453	5587	0
ISCAP	7853	2758	0
MOCCI	6052	304	0
VDEST	6027	320	0
TURTI	5850	860	0
CSCUL	8838	2227	0
BMORI	6431	1771	0
TGIGA	8832	3238	0
LPOLY	8841	2515	0
DMELA	6363	344	0
HLONG	5712	2339	0
SSCAB	5588	1718	0
