# Summarize FastOrtho
# PYTHON VERSION: 3.7.12
# Script call:    03_summarize_fastortho.py
# Runtime:        06/09/2023 14:38:50
# ----------------
# Ortholog directory:/n/holylfs05/LABS/informatics/Users/gthomas/spiders/fastortho/19spec/
# Output file:      ../data/19spec/fastortho-summary-19spec.csv
# ----------------
inflation,genes,taxa
2,636,1
2,551,3
2,338,1
2,317,19
2,312,19
2,305,18
2,221,1
2,211,1
2,172,18
2,160,19
2,160,3
2,158,1
2,158,1
2,141,1
2,140,19
2,140,1
2,139,19
2,134,17
2,133,2
2,130,3
2,127,19
2,123,3
2,118,2
2,115,2
2,112,9
2,112,2
2,110,1
2,107,19
2,107,1
2,106,3
2,106,2
2,105,1
2,104,19
2,104,6
2,103,4
2,99,16
2,97,19
2,95,16
2,95,19
2,95,2
2,94,19
2,94,18
2,92,19
2,92,18
2,92,19
2,91,2
2,90,1
2,89,18
2,89,3
2,86,17
2,86,1
2,85,19
2,84,2
2,83,1
2,82,18
2,82,18
2,82,1
2,81,19
2,81,2
2,80,19
2,80,19
2,80,4
2,79,1
2,79,2
2,78,19
2,78,19
2,76,2
2,76,18
2,76,11
2,76,2
2,76,1
2,74,18
2,74,6
2,74,1
2,73,19
2,73,2
2,73,1
2,72,1
2,72,1
2,71,19
2,71,19
2,71,18
2,71,1
2,71,1
2,70,4
2,70,2
2,69,1
2,68,18
2,68,1
2,67,8
2,67,19
2,66,2
2,65,19
2,65,2
2,64,19
2,64,17
2,64,18
2,64,9
2,63,8
2,63,19
2,63,1
2,62,19
2,62,18
2,62,19
2,62,15
2,62,2
2,61,18
2,61,18
2,61,1
2,60,19
2,59,18
2,59,2
2,59,2
2,59,1
2,58,19
2,58,18
2,58,19
2,58,1
2,57,3
2,57,2
2,56,9
2,56,6
2,56,15
2,56,19
2,56,2
2,55,19
2,55,19
2,55,18
2,54,18
2,54,18
2,54,19
2,54,2
2,54,2
2,54,4
2,54,1
2,53,6
2,53,17
2,53,18
2,53,19
2,53,18
2,53,1
2,53,1
2,53,4
2,53,1
2,53,1
2,52,16
2,52,8
2,52,18
2,52,17
2,52,14
2,52,14
2,52,1
2,52,1
2,52,1
2,52,2
2,52,2
2,51,18
2,51,17
2,51,18
2,51,19
2,51,2
2,51,2
2,51,1
2,50,19
2,50,12
2,49,17
2,49,19
2,49,17
2,49,19
2,49,18
2,49,1
2,49,1
2,48,16
2,48,19
2,48,18
2,48,5
2,48,2
2,48,4
2,48,1
2,48,1
2,48,1
2,47,18
2,47,5
2,47,18
2,47,14
2,47,19
2,47,19
2,47,19
2,47,17
2,47,19
2,47,1
2,46,18
2,46,14
2,46,18
2,46,1
2,46,2
2,46,1
2,46,1
2,46,1
2,45,19
2,45,19
2,45,18
2,45,19
2,45,17
2,45,14
2,45,18
2,45,19
2,45,6
2,45,1
2,45,1
2,45,2
2,45,1
2,45,1
2,44,17
2,44,18
2,44,17
2,44,19
2,44,17
2,44,18
2,44,19
2,44,19
2,44,18
2,44,1
2,43,19
2,43,19
2,43,19
2,43,18
2,43,18
2,43,15
2,43,18
2,43,18
2,43,19
2,43,18
2,43,17
2,43,19
2,43,19
2,43,1
2,42,7
2,42,17
2,42,17
2,42,17
2,42,19
2,42,18
2,42,19
2,42,18
2,42,18
2,42,17
2,42,19
2,42,18
2,42,2
2,42,1
2,41,18
2,41,18
2,41,17
2,41,18
2,41,19
2,41,18
2,41,19
2,41,18
2,41,19
2,41,17
2,41,19
2,41,19
2,41,19
2,41,19
2,41,18
2,41,19
2,41,19
2,41,17
2,41,17
2,41,1
2,41,1
2,40,19
2,40,19
2,40,17
2,40,17
2,40,19
2,40,19
2,40,18
2,40,17
2,40,19
2,40,19
2,40,17
2,40,18
2,40,19
2,40,18
2,40,19
2,40,1
2,39,18
2,39,17
2,39,16
2,39,6
2,39,19
2,39,18
2,39,4
2,39,18
2,39,19
2,39,19
2,39,17
2,39,18
2,39,14
2,39,19
2,39,19
2,39,18
2,39,17
2,39,19
2,39,19
2,39,18
2,39,16
2,39,15
2,39,18
2,39,1
2,39,2
2,39,1
2,38,19
2,38,19
