# Summarize FastOrtho
# PYTHON VERSION: 3.7.12
# Script call:    03_summarize_fastortho.py
# Runtime:        01/05/2023 15:37:58
# ----------------
# Ortholog directory:/n/holylfs05/LABS/informatics/Users/gthomas/spiders/fastortho/16spec/
# Output file:      ../data/16spec/fastortho-summary-16spec.csv
# ----------------
inflation,genes,taxa
2,29,14
2,29,15
2,29,16
2,29,15
2,29,15
2,29,14
2,29,15
2,29,16
2,29,16
2,29,16
2,29,15
2,29,15
2,29,15
2,29,13
2,29,16
2,29,15
2,29,16
2,29,16
2,29,14
2,29,16
2,29,14
2,29,15
2,29,14
2,29,16
2,29,15
2,29,15
2,29,15
2,29,16
2,29,16
2,29,16
2,29,16
2,29,15
2,29,15
2,29,16
2,29,15
2,29,2
2,29,16
2,29,14
2,29,13
2,29,15
2,29,16
2,29,16
2,29,14
2,29,14
2,29,16
2,29,2
2,29,15
2,29,15
2,29,14
2,29,11
2,29,15
2,29,14
2,29,4
2,29,4
2,29,1
2,29,1
2,29,1
2,28,1
2,28,16
2,28,16
2,28,16
2,28,14
2,28,16
2,28,16
2,28,16
2,28,15
2,28,16
2,28,16
2,28,16
2,28,15
2,28,14
2,28,15
2,28,11
2,28,15
2,28,15
2,28,16
2,28,16
2,28,16
2,28,15
2,28,15
2,28,16
2,28,16
2,28,15
2,28,16
2,28,15
2,28,15
2,28,16
2,28,14
2,28,16
2,28,13
2,28,16
2,28,16
2,28,14
2,28,16
2,28,16
2,28,15
2,28,16
2,28,13
2,28,14
2,28,14
2,28,15
2,28,12
2,28,13
2,28,14
2,28,14
2,28,1
2,28,2
2,28,1
2,28,1
2,28,1
2,28,2
2,28,1
2,28,4
2,28,1
2,27,15
2,27,16
2,27,16
2,27,7
2,27,16
2,27,15
2,27,14
2,27,15
2,27,13
2,27,14
2,27,14
2,27,16
2,27,14
2,27,16
2,27,16
2,27,13
2,27,16
2,27,16
2,27,16
2,27,16
2,27,16
2,27,16
2,27,15
2,27,14
2,27,16
2,27,15
2,27,16
2,27,16
2,27,16
2,27,15
2,27,16
2,27,16
2,27,16
2,27,15
2,27,14
2,27,15
2,27,16
2,27,16
2,27,16
2,27,16
2,27,16
2,27,15
2,27,16
2,27,15
2,27,15
2,27,16
2,27,15
2,27,15
2,27,16
2,27,16
2,27,16
2,27,16
2,27,16
2,27,15
2,27,14
2,27,16
2,27,15
2,27,16
2,27,14
2,27,16
2,27,16
2,27,15
2,27,16
2,27,15
2,27,13
2,27,14
2,27,14
2,27,15
2,27,15
2,27,13
2,27,10
2,27,12
2,27,15
2,27,4
2,27,1
2,27,3
