spec	num alns	num gappy	num stop
ABRUE	10263	1837	0
PTEPI	10017	1126	0
SMIMO	10263	4819	0
TANTI	10425	1245	0
NCLAV	6776	3059	0
LRECL	6965	5589	0
CROTU	9116	2697	0
LHESP	7447	5569	0
ISCAP	7849	2756	0
MOCCI	6047	294	0
VDEST	6022	311	0
CSCUL	8834	2221	0
TURTI	5845	847	0
TGIGA	8826	3204	0
BMORI	6426	1765	0
DMELA	6358	341	0
LPOLY	8834	2512	0
HLONG	5705	2335	0
SSCAB	5584	1714	0
