spec	num alns	num gappy	num stop
NCLAV	6539	2885	0
SMIMO	9829	4542	0
LHESP	7255	5352	0
CROTU	9129	2672	0
TANTI	9764	1037	0
ABRUE	9624	1704	0
LRECL	6870	5501	0
MOCCI	6014	285	0
CSCUL	8784	2164	0
VDEST	6007	307	0
BMORI	6408	1733	0
LPOLY	8862	2471	0
ISCAP	7835	2714	0
TGIGA	8864	3206	0
HLONG	5681	2311	0
DMELA	6341	338	0
TURTI	5842	867	0
SSCAB	5578	1690	0
