*** Warning! With -c set to 15 or higher, some gene trees may take a very long time to reconcile!

#
# =========================================================================
# Welcome to GRAMPA -- Gene tree reconciliations with MUL-trees.
# Version 1.3.1 released on April 30, 2021
# GRAMPA was developed by Gregg Thomas, S. Hussain Ather, and Matthew Hahn
# Citation:      https://doi.org/10.1093/sysbio/syx044
# Website:       https://gwct.github.io/grampa/
# Report issues: https://github.com/gwct/grampa
#
# The date and time at the start is: 10.21.2022 | 18:15:28
# The program was called as: /n/home07/gthomas/projects/grampa/grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/chelicerate-19spec-astral-pro-rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-100-rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15 -c 15 -p 30
#
# 10.21.2022 | 18:15:28 INFO: Number of processes:...................................30
# 10.21.2022 | 18:15:28 --> Step 1: Reading species tree
# 10.21.2022 | 18:15:28 --> STEP 2 06.15.28: Parsing hybrid clades
# 10.21.2022 | 18:15:28 --> STEP 3 06.15.28: Counting MUL-trees
# 10.21.2022 | 18:15:28 --> STEP 4 06.15.28: Reading gene tree(s)
# 10.21.2022 | 18:15:29 INFO: The input species tree with internal nodes labeled.....((DMELA,BMORI)<1>,(((HLONG,ISCAP)<2>,(MOCCI,VDEST)<3>)<4>,(((TGIGA,CROTU)<5>,LPOLY)<6>,((TURTI,SSCAB)<7>,(CSCUL,(LRECL,(SMIMO,((PTEPI,LHESP)<8>,((NCLAV,TANTI)<9>,ABRUE)<10>)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>
# 10.21.2022 | 18:15:29 INFO: Input species tree is..................................Singly-labeled
# 10.21.2022 | 18:15:29 INFO: No H1 node defined.....................................Searching all possible H1 nodes.
# 10.21.2022 | 18:15:29 INFO: No H2 node defined.....................................Searching all possible H2 nodes.
# 10.21.2022 | 18:15:29 INFO: Using gene trees in file.............................../n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-100-rooted.treefile
# 10.21.2022 | 18:15:29 INFO: Total gene trees.......................................6359
# 10.21.2022 | 18:15:29 INFO: Main results and logs will be written to file........../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_out.txt
# 10.21.2022 | 18:15:29 INFO: The number of groups for each tree will be calculated../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_checknums.txt
# 10.21.2022 | 18:15:29 INFO: Filtered trees will be saved (if necessary)............/n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_trees_filtered.txt
# 10.21.2022 | 18:15:29 INFO: Filtering gene trees with # of polyploid groups over...15
# 10.21.2022 | 18:15:29 INFO: Detailed results will be written to file.............../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_det.txt
# 10.21.2022 | 18:15:29 INFO: Detailed output will contain...........................Reconciliation scores only
# 10.21.2022 | 18:15:29 --> STEP 5 06.15.29: Building 1187 MUL-tree(s)
# 10.21.2022 | 18:15:30 --> STEP 6 06.15.30: Checking gene tree groupings
# 10.21.2022 | 18:21:50 INFO: Filtered gene trees:...................................7
# 10.21.2022 | 18:21:50 INFO: Final gene tree count for reconciliations:.............6352
# STEP 7 06.21.50: Writing filtered gene trees to file.
# ----------------------------------------
# 10.21.2022 | 18:21:50 --> STEP 8 06.21.50: Beginning reconciliations.
# 10.21.2022 | 18:39:18 --> STEP 9 06.39.18: Getting maps for lowest scoring tree
# 10.21.2022 | 18:39:22 --> STEP 10 06.39.22: Writing output
# GT/MT combo	# dups	# losses	Total score
GT-3 to MT-0	0	5	5
GT-7 to MT-0	0	5	5
GT-5 to MT-0	1	3	4
GT-6 to MT-0	1	4	5
GT-21 to MT-0	0	5	5
GT-15 to MT-0	0	6	6
GT-12 to MT-0	1	5	6
GT-13 to MT-0	2	3	5
GT-14 to MT-0	0	7	7
GT-17 to MT-0	0	4	4
GT-20 to MT-0	3	2	5
GT-2 to MT-0	0	5	5
GT-29 to MT-0	1	7	8
GT-26 to MT-0	2	9	11
GT-30 to MT-0	0	8	8
GT-9 to MT-0	0	4	4
GT-10 to MT-0	2	15	17
GT-25 to MT-0	1	8	9
GT-24 to MT-0	1	7	8
GT-18 to MT-0	0	6	6
GT-27 to MT-0	1	5	6
GT-1 to MT-0	2	4	6
GT-8 to MT-0	1	5	6
GT-4 to MT-0	3	1	4
GT-11 to MT-0	0	5	5
GT-42 to MT-0	1	8	9
GT-22 to MT-0	3	13	16
GT-23 to MT-0	2	8	10
GT-16 to MT-0	1	10	11
GT-32 to MT-0	1	6	7
GT-19 to MT-0	5	5	10
GT-33 to MT-0	8	19	27
GT-53 to MT-0	0	8	8
GT-46 to MT-0	1	7	8
GT-36 to MT-0	3	5	8
GT-59 to MT-0	0	7	7
GT-31 to MT-0	3	13	16
GT-47 to MT-0	1	8	9
GT-44 to MT-0	1	7	8
GT-28 to MT-0	4	4	8
GT-57 to MT-0	0	6	6
GT-52 to MT-0	0	8	8
GT-41 to MT-0	5	8	13
GT-38 to MT-0	1	9	10
GT-45 to MT-0	3	6	9
GT-61 to MT-0	0	6	6
GT-64 to MT-0	0	10	10
GT-60 to MT-0	0	8	8
GT-43 to MT-0	2	2	4
GT-67 to MT-0	0	7	7
GT-37 to MT-0	3	6	9
GT-66 to MT-0	1	9	10
GT-62 to MT-0	1	11	12
GT-76 to MT-0	0	7	7
GT-39 to MT-0	3	5	8
GT-35 to MT-0	2	7	9
GT-74 to MT-0	0	8	8
GT-84 to MT-0	0	9	9
GT-65 to MT-0	0	7	7
GT-70 to MT-0	0	8	8
GT-78 to MT-0	0	8	8
GT-82 to MT-0	0	8	8
GT-55 to MT-0	0	9	9
GT-69 to MT-0	0	10	10
GT-58 to MT-0	4	8	12
GT-81 to MT-0	0	7	7
GT-88 to MT-0	0	8	8
GT-85 to MT-0	0	7	7
GT-63 to MT-0	1	5	6
GT-68 to MT-0	2	7	9
GT-77 to MT-0	2	6	8
GT-91 to MT-0	0	7	7
GT-92 to MT-0	0	8	8
GT-71 to MT-0	4	4	8
GT-95 to MT-0	0	7	7
GT-97 to MT-0	0	8	8
GT-99 to MT-0	0	7	7
GT-75 to MT-0	4	6	10
GT-40 to MT-0	1	2	3
GT-34 to MT-0	2	7	9
GT-89 to MT-0	0	8	8
GT-79 to MT-0	3	5	8
GT-100 to MT-0	0	8	8
GT-73 to MT-0	4	8	12
GT-104 to MT-0	0	8	8
GT-105 to MT-0	0	9	9
GT-56 to MT-0	2	8	10
GT-48 to MT-0	2	8	10
GT-87 to MT-0	3	4	7
GT-83 to MT-0	5	9	14
GT-112 to MT-0	0	7	7
GT-114 to MT-0	0	6	6
GT-111 to MT-0	0	7	7
GT-86 to MT-0	2	6	8
GT-113 to MT-0	1	8	9
GT-80 to MT-0	5	6	11
GT-90 to MT-0	3	4	7
GT-96 to MT-0	5	9	14
GT-116 to MT-0	1	7	8
GT-119 to MT-0	0	10	10
GT-121 to MT-0	0	7	7
GT-94 to MT-0	5	5	10
GT-125 to MT-0	0	8	8
GT-107 to MT-0	3	8	11
GT-108 to MT-0	0	10	10
GT-50 to MT-0	0	3	3
GT-127 to MT-0	0	9	9
GT-126 to MT-0	0	6	6
GT-128 to MT-0	1	9	10
GT-109 to MT-0	0	9	9
GT-129 to MT-0	0	10	10
GT-130 to MT-0	0	8	8
GT-131 to MT-0	0	5	5
GT-54 to MT-0	3	8	11
GT-136 to MT-0	0	4	4
GT-103 to MT-0	3	9	12
GT-132 to MT-0	2	9	11
GT-49 to MT-0	1	5	6
GT-140 to MT-0	0	5	5
GT-118 to MT-0	1	6	7
GT-123 to MT-0	1	7	8
GT-133 to MT-0	0	7	7
GT-134 to MT-0	1	7	8
GT-141 to MT-0	0	7	7
GT-138 to MT-0	0	10	10
GT-137 to MT-0	0	8	8
GT-101 to MT-0	3	5	8
GT-142 to MT-0	1	2	3
GT-122 to MT-0	3	10	13
GT-146 to MT-0	0	2	2
GT-144 to MT-0	0	8	8
GT-98 to MT-0	4	4	8
GT-139 to MT-0	0	4	4
GT-120 to MT-0	2	5	7
GT-115 to MT-0	4	5	9
GT-155 to MT-0	0	4	4
GT-152 to MT-0	0	8	8
GT-156 to MT-0	0	4	4
GT-151 to MT-0	0	5	5
GT-153 to MT-0	0	5	5
GT-157 to MT-0	0	5	5
GT-149 to MT-0	0	8	8
GT-145 to MT-0	0	9	9
GT-150 to MT-0	1	9	10
GT-51 to MT-0	3	13	16
GT-143 to MT-0	1	9	10
